Time (s),Current (µA)
177,0.006239743
177.5,0.006197048
178,0.006216268
178.5,0.006151815
179,0.006185175
179.5,0.006211988
180,0.006142208
180.5,0.006135325
181,0.00619736
181.5,0.006126263
182,0.006139235
182.5,0.006111888
183,0.006028608
183.5,0.006153295
184,0.006065328
184.5,0.00611439
185,0.006060168
185.5,0.006073568
186,0.006060795
186.5,0.006034388
187,0.005979858
187.5,0.005934855
188,0.005981383
188.5,0.005975128
189,0.00597103
189.5,0.00595021
190,0.005938803
190.5,0.006007825
191,0.00601361
191.5,0.006027515
192,0.00599642
192.5,0.005918135
193,0.00589169
193.5,0.00582454
194,0.00586501
194.5,0.005900478
195,0.005867825
195.5,0.00590595
196,0.005910013
196.5,0.00592845
197,0.005911105
197.5,0.005887828
198,0.005840325
198.5,0.00580251
199,0.005818763
199.5,0.005791573
200,0.00579454
